location,c1,c2,c3,c4,c5,c6,dist
115_114,1,1,0,0,0,0,117
656_241,2,0,0,1,0,0,255
538_241,2,0,0,1,0,0,326
472_471,1,0,0,4,0,0,365
473_471,1,0,0,4,0,0,265
484_274,2,0,0,2,0,0,228
652_234,1,0,0,4,0,0,192
403_163,1,0,0,1,0,0,216
655_136,2,0,0,1,0,0,228
539_538,1,0,0,1,0,0,300
560_532,2,0,0,1,0,0,137
175_174,1,0,0,0,0,0,300
426_43,2,0,0,0,0,0,83
516_334,1,0,0,1,0,0,128
642_639,1,0,0,1,0,0,100
643_140,1,1,0,0,0,0,112
597_29,1,0,0,2,0,0,330
242_241,1,0,0,1,0,0,128
502_189,1,0,0,0,0,0,400
470_205,1,0,0,2,0,0,205
510_348,1,0,0,2,0,0,422
562_448,1,0,0,0,0,0,91
652_347,2,0,0,3,0,0,354
475_196,2,0,0,3,0,0,275
537_536,1,0,0,1,0,0,116
488_273,1,0,0,1,0,0,126
610_609,1,0,0,2,0,0,185
489_273,1,0,0,1,0,0,400
524_523,1,0,0,2,0,0,301
541_234,1,0,1,3,0,0,357
448_263,1,0,0,0,0,0,300
270_114,1,0,0,2,0,0,237
198_192,2,0,0,4,0,0,336
199_192,2,0,0,4,0,0,353
475_207,2,0,0,3,0,0,259
525_165,1,0,0,5,0,0,288
282_119,1,1,1,1,0,0,273
497_304,1,0,0,0,0,0,300
307_306,1,0,0,2,0,0,157
476_473,1,0,0,2,0,0,293
381_380,1,0,0,1,0,0,187
578_399,1,0,1,3,0,0,368
206_196,2,0,0,2,0,0,239
579_399,1,0,1,3,0,0,356
321_221,1,0,1,1,0,0,334
509_234,1,0,0,1,0,0,122
619_227,1,0,0,3,0,0,269
165_164,1,0,0,4,0,0,267
649_394,1,0,1,3,0,0,271
320_124,1,0,0,2,0,0,288
274_272,1,0,0,2,0,0,201
452_176,2,0,0,1,0,0,154
487_271,5,0,0,2,0,0,374
506_365,2,0,0,1,0,0,174
131_108,1,0,0,0,0,0,100
486_271,1,0,0,4,0,0,400
275_272,2,0,0,0,0,0,243
54_45,1,0,0,0,0,0,100
200_191,2,0,0,2,0,0,310
47_43,1,0,0,4,0,0,241
400_170,1,0,0,0,0,0,200
450_305,1,0,0,2,0,0,315
557_556,1,0,0,1,0,0,100
471_198,1,0,0,4,0,0,322
472_191,1,0,0,3,0,0,320
473_191,2,0,0,2,0,0,297
659_263,1,0,0,1,0,0,114
472_200,1,0,0,0,0,0,100
407_225,1,0,0,3,0,0,198
569_350,1,0,0,1,0,0,300
