fclass,name,id,address,city,region,postcode
unclassified,Savoy Street,851,"Burleigh House, 355-359 Strand, London, WC2R 0HS, Greater London",London,Greater London,WC2R 0HS
secondary,Great Portland Street,685,"240 Great Portland Street, London, W1W 5QU, Greater London",London,Greater London,W1W 5QU
trunk,Camden High Street,314,"89 Camden High Street, London, NW1 7JL, Greater London",London,Greater London,NW1 7JL
primary,Camden High Street,643,"Plaza House, 199 Camden High Street, London, NW1 7BT, Greater London",London,Greater London,NW1 7BT
primary,Camden High Street,499,"213-219 Camden High Street, London, NW1 7BT, Greater London",London,Greater London,NW1 7BT
tertiary,Ludgate Hill,767,"44-46 Ludgate Hill, London, EC4M 7DE, Greater London",London,Greater London,EC4M 7DE
primary,Kingsway,478,"Holborn Underground Station, Kingsway, London, WC2B 6AA, Greater London",London,Greater London,WC2B 6AA
primary,Kingsway,101,"Holborn Underground Station, 88-94 Kingsway, London, WC2B 6AA, Greater London",London,Greater London,WC2B 6AA
primary,Kingsway,13,"Holborn Underground Station, 88-94 Kingsway, London, WC2B 6AA, Greater London",London,Greater London,WC2B 6AA
pedestrian,Castle Street,731,"28-30 Castle Street, Kingston Upon Thames, KT1 1SS, Greater London",Kingston Upon Thames,Greater London,KT1 1SS
unclassified,Old London Road,468,"30 Old London Road, Kingston Upon Thames, KT2 6QF, Greater London",Kingston Upon Thames,Greater London,KT2 6QF
cycleway,,664,"146-152 Clarence Street, Kingston Upon Thames, KT1 1QP, Greater London",Kingston Upon Thames,Greater London,KT1 1QP
unclassified,St James' Road,325,"1 St. James Road, Kingston Upon Thames, KT1 2AH, Greater London",Kingston Upon Thames,Greater London,KT1 2AH
pedestrian,Wood Street,568,"20 Church Street, Kingston Upon Thames, KT1 1RJ, Greater London",Kingston Upon Thames,Greater London,KT1 1RJ
unclassified,Thames Street,665,"2 Clarence Street, Kingston Upon Thames, KT1 1PB, Greater London",Kingston Upon Thames,Greater London,KT1 1PB
unclassified,Thames Street,182,"11-13 Thames Street, Kingston Upon Thames, KT1 1PH, Greater London",Kingston Upon Thames,Greater London,KT1 1PH
unclassified,Eden Street,662,"41 Market Place, Kingston Upon Thames, KT1 1JQ, Greater London",Kingston Upon Thames,Greater London,KT1 1JQ
trunk,Islington High Street,138,"13 Islington High Street, London, N1 9LQ, Greater London",London,Greater London,N1 9LQ
tertiary,St Thomas Street,410,"99 Percy Street, Newcastle Upon Tyne, NE1 7RT, North East",Newcastle Upon Tyne,North East,NE1 7RT
unclassified,New Bridge Street West,722,"1 Blackett Street, Newcastle Upon Tyne, NE1 5AU, North East",Newcastle Upon Tyne,North East,NE1 5AU
residential,Red Lion Street,56,"49 Red Lion Street, London, WC1R 4PF, Greater London",London,Greater London,WC1R 4PF
primary,Southampton Row,3,"Unit 3, 150 Southampton Row, London, WC1B 5AL, Greater London",London,Greater London,WC1B 5AL
primary,High Street,1015,"272 High Street, Beckenham, BR3 1DZ, Greater London",Beckenham,Greater London,BR3 1DZ
unclassified,East Street,399,"1 East Street, Southampton, SO14 3HE, South East",Southampton,South East,SO14 3HE
pedestrian,Cross Street,883,"159 Friar Street, Reading, RG1 1HE, South East",Reading,South East,RG1 1HE
pedestrian,Broad Street,963,"104-105 Broad Street, Reading, RG1 2AZ, South East",Reading,South East,RG1 2AZ
pedestrian,Broad Street,220,"36 Broad Street, Reading, RG1 2AA, South East",Reading,South East,RG1 2AA
pedestrian,Broad Street,222,"35 Broad Street, Reading, RG1 2AA, South East",Reading,South East,RG1 2AA
pedestrian,Broad Street,557,"52 Broad Street, Reading, RG1 2AA, South East",Reading,South East,RG1 2AA
pedestrian,Broad Street,221,"40 Broad Street, Reading, RG1 2AA, South East",Reading,South East,RG1 2AA
pedestrian,Broad Street,316,"95 Broad Street, Reading, RG1 2AP, South East",Reading,South East,RG1 2AP
pedestrian,Broad Street,558,"85 Broad Street, Reading, RG1 2AP, South East",Reading,South East,RG1 2AP
pedestrian,Queen Victoria Street,222,"35 Broad Street, Reading, RG1 2AA, South East",Reading,South East,RG1 2AA
pedestrian,Queen Victoria Street,884,"17 Queen Victoria Street, Reading, RG1 1SY, South East",Reading,South East,RG1 1SY
tertiary,Blagrave Street,887,"Blagrave Street, Reading, RG1 1PZ, South East",Reading,South East,RG1 1PZ
footway,,18,"Unit 2, The Oracle Shopping Centre, Minster Street, Reading, RG1 2AG, South East",Reading,South East,RG1 2AG
tertiary,High Street,442,"123 High Street, Oxford, OX1 4DF, South East",Oxford,South East,OX1 4DF
tertiary,High Street,379,"12 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB
tertiary,High Street,984,"15 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB
tertiary,High Street,381,"6-7 High Street, Oxford, OX1 4AD, South East",Oxford,South East,OX1 4AD
footway,Bulwarks Lane,19,"61 George Street, Oxford, OX1 2BQ, South East",Oxford,South East,OX1 2BQ
tertiary,Bloomsbury Place,22,"92 Southampton Row, London, WC1B 4BH, Greater London",London,Greater London,WC1B 4BH
pedestrian,Union Street,886,"5 Union Street, Reading, RG1 1EU, South East",Reading,South East,RG1 1EU
pedestrian,Union Street,316,"95 Broad Street, Reading, RG1 2AP, South East",Reading,South East,RG1 2AP
residential,Connaught Terrace,383,"47 Blatchington Road, Hove, BN3 3YJ, South East",Hove,South East,BN3 3YJ
residential,Saint Michael's Street,875,"33 Norfolk Place, London, W2 1QH, Greater London",London,Greater London,W2 1QH
residential,Saint Michael's Street,865,"32 Norfolk Place, London, W2 1QH, Greater London",London,Greater London,W2 1QH
residential,Saint Michael's Street,867,"31 Norfolk Place, London, W2 1QH, Greater London",London,Greater London,W2 1QH
residential,Norfolk Place,829,"3-4 Norfolk Place, London, W2 1QN, Greater London",London,Greater London,W2 1QN
tertiary,London Street,810,"13 London Street, London, W2 1HL, Greater London",London,Greater London,W2 1HL
primary,Praed Street,831,"41-47 Praed Street, London, W2 1NR, Greater London",London,Greater London,W2 1NR
pedestrian,Sicilian Avenue,67,"2-6 Sicilian Avenue, London, WC1A 2QH, Greater London",London,Greater London,WC1A 2QH
primary,High Holborn,9,"4 Gray's Inn Road, London, WC1X 8HG, Greater London",London,Greater London,WC1X 8HG
primary,High Holborn,574,"29-30 High Holborn, London, WC1V 6AZ, Greater London",London,Greater London,WC1V 6AZ
pedestrian,Broad Street,377,"17 Broad Street, Oxford, OX1 3AS, South East",Oxford,South East,OX1 3AS
primary,King Street,990,"12 King Street, Twickenham, TW1 3SN, Greater London",Twickenham,Greater London,TW1 3SN
tertiary,Magdalen Street,582,"8-10 Magdalen Street, Norwich, NR3 1HU, East Of England",Norwich,East Of England,NR3 1HU
unclassified,The Horsefair,527,"98-100 The Horsefair, Bristol, BS1 3JS, South West",Bristol,South West,BS1 3JS
primary,Whiteladies Road,420,"98 Whiteladies Road, Bristol, BS8 2QY, South West",Bristol,South West,BS8 2QY
primary,West Street,388,"37 West Street, Brighton, BN1 2RE, South East",Brighton,South East,BN1 2RE
primary,West Street,389,"67-70 North Street, Brighton, BN1 1RH, South East",Brighton,South East,BN1 1RH
primary,West Street,790,"75 North Street, Brighton, BN1 1ZA, South East",Brighton,South East,BN1 1ZA
primary,West Street,387,"West Street, Brighton, BN1 2RE, South East",Brighton,South East,BN1 2RE
primary,High Street,889,"2 Church Street, Lutterworth, LE17 4AE, East Midlands",Lutterworth,East Midlands,LE17 4AE
service,Parker Street,68,"Unit C1, City Tower, Piccadilly Plaza, Manchester, M1 4AH, North West",Manchester,North West,M1 4AH
service,Parker Street,69,"Unit C1, City Tower, Piccadilly Plaza, Manchester, M1 4AH, North West",Manchester,North West,M1 4AH
footway,,379,"12 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB
footway,,984,"15 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB
footway,,984,"15 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB
footway,,379,"12 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB
unclassified,Old Jewry,763,"8 Old Jewry, London, EC2R 8DN, Greater London",London,Greater London,EC2R 8DN
cycleway,Queen Street,678,"65 Cannon Street, London, EC4N 5AA, Greater London",London,Greater London,EC4N 5AA
unclassified,Frederick's Place,763,"8 Old Jewry, London, EC2R 8DN, Greater London",London,Greater London,EC2R 8DN
unclassified,Vine Hill,904,"13-19 Vine Hill, London, EC1R 5DW, Greater London",London,Greater London,EC1R 5DW
unclassified,Vine Hill,878,"13-19 Vine Hill, London, EC1R 5DW, Greater London",London,Greater London,EC1R 5DW
secondary,Western Road,386,"30-31 Western Road, Brighton, BN1 2EB, South East",Brighton,South East,BN1 2EB
pedestrian,Cranbourne Street,388,"37 West Street, Brighton, BN1 2RE, South East",Brighton,South East,BN1 2RE
footway,Imperial Arcade,866,"2 Dyke Road, Brighton, BN1 3FE, South East",Brighton,South East,BN1 3FE
unclassified,Ship Street,649,"57 Ship Street, Brighton, BN1 1AF, South East",Brighton,South East,BN1 1AF
unclassified,Ship Street,409,"Unit 2, 51 Ship Street, Brighton, BN1 1AF, South East",Brighton,South East,BN1 1AF
unclassified,Ship Street,393,"146 North Street, Brighton, BN1 1RE, South East",Brighton,South East,BN1 1RE
pedestrian,Duke Street,388,"37 West Street, Brighton, BN1 2RE, South East",Brighton,South East,BN1 2RE
service,South Street,387,"West Street, Brighton, BN1 2RE, South East",Brighton,South East,BN1 2RE
footway,Dukes Lane,649,"57 Ship Street, Brighton, BN1 1AF, South East",Brighton,South East,BN1 1AF
footway,Ship Street Court,409,"Unit 2, 51 Ship Street, Brighton, BN1 1AF, South East",Brighton,South East,BN1 1AF
pedestrian,Union Street,649,"57 Ship Street, Brighton, BN1 1AF, South East",Brighton,South East,BN1 1AF
unclassified,East Street,437,"65 East Street, Brighton, BN1 1HQ, South East",Brighton,South East,BN1 1HQ
pedestrian,East Street,977,"51 East Street, Brighton, BN1 1HN, South East",Brighton,South East,BN1 1HN
pedestrian,East Street,394,"52 East Street, Brighton, BN1 1HN, South East",Brighton,South East,BN1 1HN
pedestrian,East Street,650,"55-56 East Street, Brighton, BN1 1HN, South East",Brighton,South East,BN1 1HN
service,Steine Lane,394,"52 East Street, Brighton, BN1 1HN, South East",Brighton,South East,BN1 1HN
service,Poplar Place,524,"Unit 2, 32-36 North Street, Brighton, BN1 1EB, South East",Brighton,South East,BN1 1EB
pedestrian,,435,"34 Peascod Street, Windsor, SL4 1EA, South East",Windsor,South East,SL4 1EA
unclassified,Muscovy Street,765,"13-14 Byward Street, London, EC3R 5BA, Greater London",London,Greater London,EC3R 5BA
unclassified,Portland Street,578,"Unit 3, 69-75 Above Bar Street, Southampton, SO14 7DZ, South East",Southampton,South East,SO14 7DZ
cycleway,,20,"19-21 Regent Street, Cambridge, CB2 1AB, East Of England",Cambridge,East Of England,CB2 1AB
cycleway,,20,"19-21 Regent Street, Cambridge, CB2 1AB, East Of England",Cambridge,East Of England,CB2 1AB
cycleway,,20,"19-21 Regent Street, Cambridge, CB2 1AB, East Of England",Cambridge,East Of England,CB2 1AB
pedestrian,,386,"30-31 Western Road, Brighton, BN1 2EB, South East",Brighton,South East,BN1 2EB
pedestrian,,977,"51 East Street, Brighton, BN1 1HN, South East",Brighton,South East,BN1 1HN
pedestrian,,650,"55-56 East Street, Brighton, BN1 1HN, South East",Brighton,South East,BN1 1HN
unclassified,Bridge Street,463,"34-35 Bridge Street, Cambridge, CB2 1UW, East Of England",Cambridge,East Of England,CB2 1UW
footway,All Saints Passage,136,"1-2 Bridge Street, Cambridge, CB2 1UA, East Of England",Cambridge,East Of England,CB2 1UA
pedestrian,Sidney Street,137,"16-17 Sidney Street, Cambridge, CB2 3HG, East Of England",Cambridge,East Of England,CB2 3HG
pedestrian,Sidney Street,469,"22 Sidney Street, Cambridge, CB2 3HG, East Of England",Cambridge,East Of England,CB2 3HG
pedestrian,,456,"30 Market Hill, Cambridge, CB2 3NX, East Of England",Cambridge,East Of England,CB2 3NX
pedestrian,Sidney Street,137,"16-17 Sidney Street, Cambridge, CB2 3HG, East Of England",Cambridge,East Of England,CB2 3HG
pedestrian,Sidney Street,469,"22 Sidney Street, Cambridge, CB2 3HG, East Of England",Cambridge,East Of England,CB2 3HG
pedestrian,Sidney Street,464,"28 Sidney Street, Cambridge, CB2 3HW, East Of England",Cambridge,East Of England,CB2 3HW
unclassified,Jesus Lane,136,"1-2 Bridge Street, Cambridge, CB2 1UA, East Of England",Cambridge,East Of England,CB2 1UA
footway,,648,"19-20 London Road, Brighton, BN1 4JB, South East",Brighton,South East,BN1 4JB
pedestrian,Kensington Gardens,392,"30 Kensington Gardens, Brighton, BN1 4AL, South East",Brighton,South East,BN1 4AL
unclassified,Kensington Street,392,"30 Kensington Gardens, Brighton, BN1 4AL, South East",Brighton,South East,BN1 4AL
trunk,Baker Street,700,"245-247 Baker Street, London, NW1 6XE, Greater London",London,Greater London,NW1 6XE
pedestrian,,918,"Unit 108, Ridings Shopping Centre, Kirkgate, Wakefield, WF1 1SS, Yorkshire and the Humber",Wakefield,Yorkshire and the Humber,WF1 1SS
trunk,Upper Tooting Road,905,"53 Tooting High Street, London, SW17 0SP, Greater London",London,Greater London,SW17 0SP
trunk,Upper Tooting Road,97,"33-39 Tooting High Street, London, SW17 0SP, Greater London",London,Greater London,SW17 0SP
unclassified,Oxford Street,648,"19-20 London Road, Brighton, BN1 4JB, South East",Brighton,South East,BN1 4JB
pedestrian,New Street,368,"Unit 1, 40 New Street, Birmingham, B2 4EG, West Midlands",Birmingham,West Midlands,B2 4EG
pedestrian,High Street,506,"1 New street, Birmingham, B2 4LE, West Midlands",Birmingham,West Midlands,B2 4LE
unclassified,Queen's Place,390,"1-3 London Road, Brighton, BN1 4JA, South East",Brighton,South East,BN1 4JA
tertiary,Eastgate,539,"13 Eastgate, Leeds, LS2 7LY, Yorkshire and the Humber",Leeds,Yorkshire and the Humber,LS2 7LY
unclassified,Foley Street,706,"26-27 Foley Street, London, W1W 6DY, Greater London",London,Greater London,W1W 6DY
unclassified,Riding House Street,744,"36 Riding House Street, London, W1W 7EP, Greater London",London,Greater London,W1W 7EP
tertiary,Howland Street,704,"68-70 Whitfield Street, London, W1T 4EY, Greater London",London,Greater London,W1T 4EY
unclassified,Charlotte Street,320,"52 Goodge Street, London, W1T 4LZ, Greater London",London,Greater London,W1T 4LZ
unclassified,Whitfield Street,704,"68-70 Whitfield Street, London, W1T 4EY, Greater London",London,Greater London,W1T 4EY
service,,64,"Unit 5b, Crown Point Shopping Park, Junction Street, Leeds, LS10 1ET, Yorkshire and the Humber",Leeds,Yorkshire and the Humber,LS10 1ET
service,,65,"Unit 5b, Crown Point Shopping Park, Junction Street, Leeds, LS10 1ET, Yorkshire and the Humber",Leeds,Yorkshire and the Humber,LS10 1ET
residential,East Street,779,"45 East Street, Bromley, BR1 1QQ, Greater London",Bromley,Greater London,BR1 1QQ
unclassified,Hugh Street,688,"14 Belgrave Road, London, SW1V 1QD, Greater London",London,Greater London,SW1V 1QD
pedestrian,Gerrard Street,691,"33-37 Wardour Street, London, W1D 6PU, Greater London",London,Greater London,W1D 6PU
pedestrian,Newport Court,210,"48 Charing Cross Road, London, WC2H 0BS, Greater London",London,Greater London,WC2H 0BS
pedestrian,Newport Court,103,"48-50 Charing Cross Road, London, WC2H 0BB, Greater London",London,Greater London,WC2H 0BB
pedestrian,Newport Court,134,"45 Charing Cross Road, London, WC2H 0AN, Greater London",London,Greater London,WC2H 0AN
unclassified,Little Newport Street,210,"48 Charing Cross Road, London, WC2H 0BS, Greater London",London,Greater London,WC2H 0BS
unclassified,Macclesfield Street,214,"11 Macclesfield Street, London, W1D 5BW, Greater London",London,Greater London,W1D 5BW
service,Horse and Dolphin Yard,214,"11 Macclesfield Street, London, W1D 5BW, Greater London",London,Greater London,W1D 5BW
pedestrian,Bear Street,208,"11-12 Bear Street, London, WC2H 7AX, Greater London",London,Greater London,WC2H 7AX
pedestrian,Bear Street,837,"20-21 Leicester Square, London, WC2H 7JX, Greater London",London,Greater London,WC2H 7JX
primary,Charing Cross Road,208,"11-12 Bear Street, London, WC2H 7AX, Greater London",London,Greater London,WC2H 7AX
unclassified,Argyll Street,846,"3-4 Argyll Street, London, W1F 7TB, Greater London",London,Greater London,W1F 7TB
unclassified,Poland Street,628,"1 Great Marlborough Street, London, W1F 7HG, Greater London",London,Greater London,W1F 7HG
unclassified,University Street,627,"108 Tottenham Court Road, London, W1T 5AA, Greater London",London,Greater London,W1T 5AA
pedestrian,New Street,506,"1 New street, Birmingham, B2 4LE, West Midlands",Birmingham,West Midlands,B2 4LE
pedestrian,New Street,366,"146-148 New Street, Birmingham, B2 4NY, West Midlands",Birmingham,West Midlands,B2 4NY
pedestrian,White Hart Slip,190,"157 High Street, Bromley, BR1 1JD, Greater London",Bromley,Greater London,BR1 1JD
tertiary,Warwick Way,326,"15 Warwick Way, London, SW1V 1QT, Greater London",London,Greater London,SW1V 1QT
pedestrian,Market Street,425,"30 Market Street, Leicester, LE1 6DP, East Midlands",Leicester,East Midlands,LE1 6DP
pedestrian,Market Street,424,"22 Market Street, Leicester, LE1 6DP, East Midlands",Leicester,East Midlands,LE1 6DP
pedestrian,Bow Lane,672,"29 Watling Street, London, EC4M 9BR, Greater London",London,Greater London,EC4M 9BR
pedestrian,Watling Street,672,"29 Watling Street, London, EC4M 9BR, Greater London",London,Greater London,EC4M 9BR
pedestrian,Watling Street,676,"1 Groveland Court, London, EC4M 9EH, Greater London",London,Greater London,EC4M 9EH
unclassified,Saint Aldate Street,862,"33 St. Aldate Street, Gloucester, GL1 1RP, South West",Gloucester,South West,GL1 1RP
unclassified,Longsmith Street,861,"28 Southgate Street, Gloucester, GL1 2DP, South West",Gloucester,South West,GL1 2DP
pedestrian,Eastgate Street,946,"9-11 Eastgate Street, Gloucester, GL1 1NS, South West",Gloucester,South West,GL1 1NS
pedestrian,Eastgate Street,171,"1-3 Eastgate Street, Gloucester, GL1 1NS, South West",Gloucester,South West,GL1 1NS
secondary,Barton Street,836,"1 Bruton Way, Gloucester, GL1 1DT, South West",Gloucester,South West,GL1 1DT
primary,New Oxford Street,535,"34 New Oxford Street, London, WC1A 1AP, Greater London",London,Greater London,WC1A 1AP
primary,Bruton Way,836,"1 Bruton Way, Gloucester, GL1 1DT, South West",Gloucester,South West,GL1 1DT
primary,,836,"1 Bruton Way, Gloucester, GL1 1DT, South West",Gloucester,South West,GL1 1DT
pedestrian,Westgate Street,1018,"46 Westgate Street, Gloucester, GL1 2NF, South West",Gloucester,South West,GL1 2NF
unclassified,Bainbridge Street,747,"108 New Oxford Street, London, WC1A 1HD, Greater London",London,Greater London,WC1A 1HD
unclassified,Bainbridge Street,708,"114-116 New Oxford Street, London, WC1A 1HH, Greater London",London,Greater London,WC1A 1HH
residential,Hargrave Road,30,"28 Junction Road, London, N19 5RF, Greater London",London,Greater London,N19 5RF
primary,Belgrave Road,688,"14 Belgrave Road, London, SW1V 1QD, Greater London",London,Greater London,SW1V 1QD
unclassified,Gilbert Place,60,"40 Museum Street, London, WC1A 1LU, Greater London",London,Greater London,WC1A 1LU
unclassified,Little Russell Street,60,"40 Museum Street, London, WC1A 1LU, Greater London",London,Greater London,WC1A 1LU
unclassified,Bury Place,583,"63 Great Russell Street, London, WC1B 3BF, Greater London",London,Greater London,WC1B 3BF
unclassified,North Row,119,"140-141 Park Lane, London, W1K 7AA, Greater London",London,Greater London,W1K 7AA
tertiary,Wardour Street,109,"87 Wardour Street, London, W1F 0UA, Greater London",London,Greater London,W1F 0UA
service,,617,"Gower Street, London, WC1E 6BT, Greater London",London,Greater London,WC1E 6BT
service,,658,"Gower Street, London, WC1E 6BT, Greater London",London,Greater London,WC1E 6BT
unclassified,Dyott Street,11,"76 New Oxford Street, London, WC1A 1EU, Greater London",London,Greater London,WC1A 1EU
footway,,955,"476 Oxford Street, London, W1C 1LD, Greater London",London,Greater London,W1C 1LD
unclassified,Carrington Street,682,"7 Shepherd Street, London, W1J 7HR, Greater London",London,Greater London,W1J 7HR
unclassified,Chicheley Street,732,"1 Chicheley Street, London, SE1 7PY, Greater London",London,Greater London,SE1 7PY
unclassified,Museum Street,60,"40 Museum Street, London, WC1A 1LU, Greater London",London,Greater London,WC1A 1LU
pedestrian,South Molton Street,873,"375-381 Oxford Street, London, W1C 2JS, Greater London",London,Greater London,W1C 2JS
footway,,120,"353 Oxford Street, London, W1C 2JG, Greater London",London,Greater London,W1C 2JG
primary,City Road,752,"73 City Road, London, EC1Y 1BD, Greater London",London,Greater London,EC1Y 1BD
tertiary,Grosvenor Street,123,"4-5 Grosvenor Street, London, W1K 4PX, Greater London",London,Greater London,W1K 4PX
residential,Roupell Street,738,"22 Cornwall Road, London, SE1 8TW, Greater London",London,Greater London,SE1 8TW
residential,Lower James Street,213,"64 Brewer Street, London, W1F 9TP, Greater London",London,Greater London,W1F 9TP
unclassified,Kingly Street,600,"6-8 Fouberts Place, London, W1F 7PD, Greater London",London,Greater London,W1F 7PD
unclassified,Kingly Street,215,"34 Kingly Street, London, W1B 5QH, Greater London",London,Greater London,W1B 5QH
unclassified,Brewer Street,213,"64 Brewer Street, London, W1F 9TP, Greater London",London,Greater London,W1F 9TP
residential,Newcomen Street,881,"65 Newcomen Street, London, SE1 1YT, Greater London",London,Greater London,SE1 1YT
unclassified,St. Thomas Street,792,"2-4 Southwark Street, London, SE1 1TQ, Greater London",London,Greater London,SE1 1TQ
unclassified,St. Thomas Street,882,"Great Maze Pond, St. Thomas Street, London, SE1 9RT, Greater London",London,Greater London,SE1 9RT
pedestrian,Carnaby Street,495,"32-34 Carnaby Street, London, W1F 7DN, Greater London",London,Greater London,W1F 7DN
living_street,Clink Street,703,"Pickfords Wharf, 2 Clink Street, London, SE1 9DG, Greater London",London,Greater London,SE1 9DG
residential,Sherwood Street,213,"64 Brewer Street, London, W1F 9TP, Greater London",London,Greater London,W1F 9TP
unclassified,Seething Lane,765,"13-14 Byward Street, London, EC3R 5BA, Greater London",London,Greater London,EC3R 5BA
unclassified,Britton Street,1027,"26 Britton Street, London, EC1M 5UB, Greater London",London,Greater London,EC1M 5UB
unclassified,Britton Street,876,"26 Britton Street, London, EC1M 5UB, Greater London",London,Greater London,EC1M 5UB
unclassified,Old Compton Street,300,"79 Wardour Street, London, W1D 6QB, Greater London",London,Greater London,W1D 6QB
unclassified,Montagu Street,357,"13 New Quebec Street, London, W1H 7RR, Greater London",London,Greater London,W1H 7RR
steps,Carting Lane,683,"91-92 Strand, London, WC2R 0DW, Greater London",London,Greater London,WC2R 0DW
unclassified,Adam Street,791,"73-76 Strand, London, WC2R 0DE, Greater London",London,Greater London,WC2R 0DE
footway,York Place,135,"32-33 Strand, London, WC2N 5HY, Greater London",London,Greater London,WC2N 5HY
unclassified,Appold Street,754,"18-20 Appold Street, London, EC2A 2AS, Greater London",London,Greater London,EC2A 2AS
secondary,Great Portland Street,685,"240 Great Portland Street, London, W1W 5QU, Greater London",London,Greater London,W1W 5QU
primary,Regent Street,496,"316-318 Regent Street, London, W1B 3AY, Greater London",London,Greater London,W1B 3AY
primary,Regent Street,132,"313 Regent Street, London, W1B 2HP, Greater London",London,Greater London,W1B 2HP
primary,Kennington Road,799,"34 Kennington Road, London, SE1 7BL, Greater London",London,Greater London,SE1 7BL
footway,Staple Inn,8,"Holborn Bars, 3 Holborn, London, EC1N 2LL, Greater London",London,Greater London,EC1N 2LL
footway,,703,"Pickfords Wharf, 2 Clink Street, London, SE1 9DG, Greater London",London,Greater London,SE1 9DG
unclassified,Stourcliffe Street,115,"45-47 Edgware Road, London, W2 2EG, Greater London",London,Greater London,W2 2EG
unclassified,Briset Street,1027,"26 Britton Street, London, EC1M 5UB, Greater London",London,Greater London,EC1M 5UB
unclassified,Briset Street,876,"26 Britton Street, London, EC1M 5UB, Greater London",London,Greater London,EC1M 5UB
unclassified,Baldwin Street,807,"Unit A, The Bower, 211 Old Street, London, EC1V 9NR, Greater London",London,Greater London,EC1V 9NR
residential,Bourlet Close,744,"36 Riding House Street, London, W1W 7EP, Greater London",London,Greater London,W1W 7EP
unclassified,North Gower Street,698,"137 Drummond Street, London, NW1 2HL, Greater London",London,Greater London,NW1 2HL
unclassified,Drummond Street,698,"137 Drummond Street, London, NW1 2HL, Greater London",London,Greater London,NW1 2HL
primary,King Street,148,"6 King Street, London, W6 0QA, Greater London",London,Greater London,W6 0QA
secondary,Buckingham Gate,714,"56 Victoria Street, London, SW1E 6QW, Greater London",London,Greater London,SW1E 6QW
unclassified,Broadway,728,"18-20 Broadway, London, SW1H 0BH, Greater London",London,Greater London,SW1H 0BH
unclassified,St. Ermin's Hill,728,"18-20 Broadway, London, SW1H 0BH, Greater London",London,Greater London,SW1H 0BH
